mouse_button_1,mouse_button_3,mouse_X,mouse_Y
0.0,0.0,779,340
0.0,0.0,800,331
0.0,0.0,974,328
0.0,0.0,1107,350
0.0,0.0,1265,375
0.0,0.0,1334,377
0.0,0.0,1369,379
0.0,0.0,1373,379
0.0,0.0,1373,379
0.0,0.0,1373,379
0.0,0.0,1373,379
0.0,0.0,1373,379
0.0,0.0,1373,379
0.0,0.0,1373,379
0.0,0.0,1373,368
0.0,0.0,1399,336
0.0,0.0,1441,301
0.0,0.0,1512,284
0.0,0.0,1552,289
0.0,0.0,1599,327
0.0,0.0,1599,344
0.0,0.0,1599,351
0.0,0.0,1599,351
0.0,0.0,1599,351
0.0,0.0,1599,350
0.0,0.0,1599,344
0.0,0.0,1599,339
0.0,0.0,1599,332
0.0,0.0,1599,319
0.0,0.0,1599,311
0.0,0.0,1599,298
0.0,0.0,1599,287
0.0,0.0,1599,270
0.0,0.0,1599,263
0.0,0.0,1599,260
0.0,0.0,1597,260
1.0,0.0,1597,260
1.0,0.0,1597,260
1.0,0.0,1597,260
1.0,0.0,1597,260
1.0,0.0,1597,260
1.0,0.0,1597,260
1.0,0.0,1597,260
1.0,0.0,1596,260
1.0,0.0,1596,260
1.0,0.0,1596,260
1.0,0.0,1596,260
1.0,0.0,1595,261
1.0,0.0,1595,263
1.0,0.0,1595,265
1.0,0.0,1594,270
1.0,0.0,1594,280
1.0,0.0,1594,289
1.0,0.0,1594,293
1.0,0.0,1594,296
1.0,0.0,1594,296
0.0,0.0,1594,296
0.0,0.0,1594,296
0.0,0.0,1594,296
0.0,0.0,1594,296
0.0,0.0,1594,296
0.0,0.0,1594,296
0.0,0.0,1594,296
0.0,0.0,1594,296
0.0,0.0,1594,296
0.0,0.0,1594,296
0.0,0.0,1594,296
0.0,0.0,1594,296
0.0,0.0,1594,296
0.0,0.0,1594,296
0.0,0.0,1594,296
0.0,0.0,1594,296
0.0,0.0,1594,296
0.0,0.0,1594,296
0.0,0.0,1594,296
0.0,0.0,1594,296
0.0,0.0,1594,296
0.0,0.0,1594,296
0.0,0.0,1594,296
0.0,0.0,1594,296
0.0,0.0,1594,296
0.0,0.0,1594,296
0.0,0.0,1594,296
0.0,0.0,1594,296
0.0,0.0,1594,296
0.0,0.0,1594,296
0.0,0.0,1594,296
0.0,0.0,1594,296
0.0,0.0,1594,296
0.0,0.0,1594,296
0.0,0.0,1594,296
0.0,0.0,1594,296
0.0,0.0,1594,296
0.0,0.0,1594,296
0.0,0.0,1594,296
0.0,0.0,1594,296
0.0,0.0,1594,296
0.0,0.0,1594,296
0.0,0.0,1594,296
0.0,0.0,1594,296
0.0,0.0,1594,296
0.0,0.0,1594,296
0.0,0.0,1594,296
0.0,0.0,1594,296
0.0,0.0,1594,296
0.0,0.0,1594,296
0.0,0.0,1594,296
0.0,0.0,1594,296
0.0,0.0,1594,296
0.0,0.0,1594,296
0.0,0.0,1594,296
0.0,0.0,1594,301
0.0,0.0,1594,301
0.0,0.0,1594,301
0.0,0.0,1594,301
0.0,0.0,1594,301
0.0,0.0,1594,301
0.0,0.0,1594,301
0.0,0.0,1594,301
0.0,0.0,1594,301
0.0,0.0,1594,301
0.0,0.0,1594,301
0.0,0.0,1594,301
0.0,0.0,1594,301
0.0,0.0,1594,301
0.0,0.0,1594,301
0.0,0.0,1594,301
0.0,0.0,1594,301
0.0,0.0,1594,301
0.0,0.0,1594,317
0.0,0.0,1594,402
0.0,0.0,1594,536
0.0,0.0,1594,650
0.0,0.0,1594,701
0.0,0.0,1593,759
0.0,0.0,1588,782
0.0,0.0,1583,798
0.0,0.0,1583,801
0.0,0.0,1583,803
0.0,0.0,1582,803
0.0,0.0,1580,800
0.0,0.0,1570,766
0.0,0.0,1546,754
0.0,0.0,1527,754
0.0,0.0,1466,758
0.0,0.0,1364,767
0.0,0.0,1315,777
0.0,0.0,1279,782
0.0,0.0,1258,782
0.0,0.0,1258,782
0.0,0.0,1258,782
0.0,0.0,1258,782
0.0,0.0,1258,782
0.0,0.0,1258,782
0.0,0.0,1258,782
0.0,0.0,1264,783
0.0,0.0,1282,785
0.0,0.0,1319,791
0.0,0.0,1338,793
0.0,0.0,1341,793
0.0,0.0,1342,793
0.0,0.0,1344,793
0.0,0.0,1346,791
0.0,0.0,1347,790
0.0,0.0,1348,790
0.0,0.0,1348,790
0.0,0.0,1348,790
0.0,0.0,1348,790
0.0,0.0,1348,790
0.0,0.0,1348,791
0.0,0.0,1348,791
0.0,0.0,1348,791
0.0,0.0,1348,791
0.0,0.0,1350,791
0.0,0.0,1351,791
0.0,0.0,1352,792
0.0,0.0,1354,792
0.0,0.0,1357,793
0.0,0.0,1358,793
0.0,0.0,1358,793
0.0,0.0,1360,794
1.0,0.0,1362,795
1.0,0.0,1362,795
1.0,0.0,1362,795
1.0,0.0,1362,795
1.0,0.0,1362,795
1.0,0.0,1362,795
1.0,0.0,1361,795
1.0,0.0,1361,795
1.0,0.0,1361,795
1.0,0.0,1361,795
1.0,0.0,1361,799
1.0,0.0,1361,803
1.0,0.0,1361,810
1.0,0.0,1361,817
1.0,0.0,1361,822
1.0,0.0,1361,828
1.0,0.0,1361,830
1.0,0.0,1361,833
1.0,0.0,1361,835
1.0,0.0,1361,835
0.0,0.0,1361,835
0.0,0.0,1361,835
0.0,0.0,1361,835
0.0,0.0,1361,835
0.0,0.0,1361,835
0.0,0.0,1361,835
0.0,0.0,1361,835
0.0,0.0,1361,835
0.0,0.0,1361,835
0.0,0.0,1361,835
0.0,0.0,1361,835
0.0,0.0,1361,835
0.0,0.0,1361,835
0.0,0.0,1361,835
0.0,0.0,1361,832
0.0,0.0,1377,791
0.0,0.0,1422,710
